version	date	author	status	data_count	lr	lora_r	epochs	seq_len	loss	GAME	NAVWORLD	SWE-SYNTH	LIVEWEB	LGC-v2	PRINT	geo_mean	cost_usd	notes
v2.1	2026-03-19	trainer	completed	6894	1e-4	64	1	8192	0.1557	25.74	8.47	-	-	-	-	-	~17	D7 gin_rummy + D8 NAVWORLD diversity + LIVEWEB restore + schema fix. GAME/NAVWORLD targets passed. SWE-SYNTH/LIVEWEB need production eval.
v2.2	2026-03-20	trainer	completed	7239	1e-4	64	1	16384	0.2235	26.04	6.10	FAIL	6.83	-	-	-	~9	4-GPU DDP + seq=16384 + NAVWORLD QQR filter + Claude Sonnet. NAVWORLD regressed (8.47→6.10). LIVEWEB non-zero but format wrong. SWE-SYNTH docker missing.
v2.3	2026-03-20	trainer	completed	7626	1e-4	64	1	16384	0.1722	22.69	1.52	skip	8.62	-	-	-	~9	GAME 22.69 (regression from 26.04). NAVWORLD 1.52 (severe regression). LIVEWEB 8.62 (improved). Zero-tier games still 0%. SWE-SYNTH skipped (deprecated).
v2.4a	2026-03-20	trainer	completed	5120	1e-4	64	1	8192	0.231	26.03	7.71	skip	11.90	-	-	-	~9	seq=8192 A/B. NAVWORLD 7.71 (best since v2.1). GAME 26.03. LIVEWEB 11.90. HF: monokoco/affine-qwen3-32b-v2.4a
v2.4b	2026-03-20	trainer	completed	5278	1e-4	64	1	16384	~0.17	25.44	4.58	skip	15.77	-	-	-	~9	seq=16384 A/B. LIVEWEB 15.77 (best ever). GAME 25.44. NAVWORLD 4.58. HF: monokoco/affine-qwen3-32b-v2.4b
v2.5	2026-03-21	trainer	completed	5533	1e-4	64	1	16384	0.288	24.28	6.51	skip	11.82	-	-	-	~9	+NAVWORLD (1215). GAME 24.28, NAVWORLD 6.51, LIVEWEB 11.82. Loss 0.288 abnormal. HF: monokoco/affine-qwen3-32b-v2.5
v2.6	2026-03-21	trainer	completed	6191	1e-4	64	1	8192	0.301	26.66	5.82*	-	11.73	-	-	-	~9	seq=8192 + NW 1633 + SWE-I 215. GAME 26.66. *NAVWORLD without CHUTES LLM score (code only). HF: monokoco/affine-qwen3-32b-v2.6
v2.7	2026-03-21	trainer	completed	6204	5e-5	64	1	8192	0.348	28.90	12.63†	-	13.76	-	-	-	~9	lr=5e-5. GAME 28.90 (best ever). †NAVWORLD 12.63 (first CHUTES full eval). LIVEWEB 13.76. HF: monokoco/affine-qwen3-32b-v2.7
v2.8	2026-03-21	trainer	completed	6691	7e-5	64	2	8192	0.170	24.71	6.60	-	4.00	-	-	-	~18	epochs=2 lr=7e-5. ALL REGRESSED vs v2.7: GAME 24.71 (vs 28.90), NW 6.60 (vs 12.63), LW 4.00 (vs 13.76). 2-epoch overfitting confirmed. HF: monokoco/affine-qwen3-32b-v2.8
v2.9	2026-03-21	trainer	completed	5413	5e-5	64	1	8192	0.266	26.48	8.36	-	6.42	-	-	-	~9	GAME 3-game filter (5888→3101). GAME 26.48 (vs 28.90), NW 8.36 (vs 12.63), LW 6.42 (vs 13.76). Smaller data hurt all envs. HF: -
v2.10	2026-03-22	trainer	completed	8017	5e-5	64	1	8192	-	24.73	11.08	-	12.08	-	-	-	~9	NW V5 1430 + GAME 5888 + LW 484 + SWE-I 215. All regressed vs v2.7. NW V5 format fix no improvement. LW 15/100 cache errors. HF: -
v2.11	2026-03-22	trainer	completed	8021	5e-5	64	1	8192	0.329	26.17	8.70	-	12.37	-	-	-	~9	No SWE-I. GAME +1.44 vs v2.10 (SWE-I removal helped). NW 8.70 (-2.38 vs v2.10, collapsed). LW 12.37 (+0.29). v2.7 still best. HF: -
v2.12	2026-03-22	trainer	completed	5637	5e-5	64	1	8192	0.280	26.18	10.42	-	13.12	-	-	-	~9	v2.7 proportion reset. GAME 3400+NW 1547+LW 690. First eval with AMAP keys. NW 10.42. GAME 26.18 (corrected). LW 13.12 (15 cache errors). HF: monokoco/affine-qwen3-32b-v2.12
